# 第036章 战斗插画提示词

## 角色8: 可莉Coser - 蹦蹦炸弹

### 画面描述
竖图战斗姿态。可莉Coser扮演者化身真正的火花骑士，手持蹦蹦炸弹呈投掷姿态。身体侧立，左腿前伸右腿后蹬，重心后移呈蓄力姿势。双手捧着红色炸弹，炸弹上火焰跳动。周围漂浮爆炸火花，背景是橙色与金色交织的爆炸维度空间。表情兴奋而调皮，眼睛闪烁着调皮的光芒。

### 表情神态
- 眼睛瞪大闪烁着兴奋的光芒，笑容灿烂如阳光
- 嘴角上扬露出调皮的笑容，表情中带着三分得意
- 神采飞扬，仿佛对"好玩的"充满期待
- 脸颊因兴奋而微微泛红

### 武器细节
- 蹦蹦炸弹：红色球形炸弹，表面刻有四叶草图案
- 炸弹周围火焰环绕，火星四溅
- 炸弹内部透出金色光芒，随时可能爆炸
- 周围漂浮多个小型炸弹，增强视觉冲击力

### 光影氛围
- 背景为爆炸维度空间，橙色为主，金色为辅
- 炸弹产生强烈的暖光，形成爆炸光晕
- 火花产生动态模糊效果，增强速度感
- 伦勃朗明暗对比，突出角色剪影

### 构图
- 竖构图，人物占画面3/4高度
- 投掷姿态形成对角线构图
- 炸弹作为视觉焦点，处于画面黄金分割点
